,Score
Song Kang-ho,99.0
Lee Sun-kyun,99.0
Jo Yeo-jeong,99.0
Choi Woo-sik,99.0
Humphrey Bogart,99.0
Ingrid Bergman,99.0
Paul Henreid,99.0
Claude Rains,99.0
Bette Davis,99.0
Anne Baxter,99.0
Celeste Holm,90.5
George Sanders,98.5
Marlon Brando,98.0
Eva Marie Saint,99.0
Karl Malden,95.0
Lee J. Cobb,99.0
Mahershala Ali,87.5
Alex R. Hibbert,98.0
Ashton Sanders,98.0
Trevante Rhodes,98.0
Liam Neeson,98.0
Ben Kingsley,93.5
Ralph Fiennes,92.0
Caroline Goodall,98.0
Claudette Colbert,98.0
Clark Gable,94.66666666666667
Walter Connolly,98.0
Roscoe Karns,98.0
Laurence Olivier,97.0
Joan Fontaine,98.0
Judith Anderson,98.0
Lew Ayres,98.0
Louis Wolheim,98.0
John Wray,98.0
Raymond Griffith,98.0
George O'Brien,98.0
Janet Gaynor,98.0
Margaret Livingston,98.0
Bodil Rosing,98.0
Mark Ruffalo,97.0
Michael Keaton,94.0
Rachel McAdams,97.0
Liev Schreiber,97.0
Jeremy Renner,97.0
Anthony Mackie,93.5
Brian Geraghty,97.0
Guy Pearce,95.5
Al Pacino,96.5
James Caan,97.0
Richard S. Castellano,97.0
Woody Allen,97.0
Diane Keaton,96.5
Tony Roberts,97.0
Carol Kane,97.0
Fredric March,97.0
Myrna Loy,84.5
Dana Andrews,97.0
Teresa Wright,95.5
Broderick Crawford,97.0
Joanne Dru,97.0
Mercedes McCambridge,97.0
John Ireland,97.0
Ray Milland,97.0
Jane Wyman,97.0
Howard Da Silva,97.0
Phillip Terry,97.0
Ben Affleck,96.0
Bryan Cranston,96.0
Alan Arkin,96.0
John Goodman,95.5
Robert Duvall,96.0
Robert De Niro,91.0
Clint Eastwood,93.0
Gene Hackman,96.0
Morgan Freeman,90.33333333333333
Richard Harris,96.0
William Holden,96.0
Alec Guinness,95.0
Sessue Hayakawa,96.0
Jack Hawkins,90.5
Fernando Rey,96.0
Roy Scheider,96.0
Tony Lo Bianco,96.0
Ernest Borgnine,96.0
Betsy Blair,96.0
Joe Mantell,96.0
Esther Minciotti,96.0
Charles Laughton,96.0
Franchot Tone,96.0
Herbert Mundin,80.5
Jean Simmons,96.0
Basil Sydney,96.0
Eileen Herlie,96.0
Michelle Yeoh,94.0
Stephanie Hsu,94.0
Ke Huy Quan,94.0
James Hong,94.0
Chiwetel Ejiofor,95.0
Michael Fassbender,95.0
Benedict Cumberbatch,95.0
Paul Dano,95.0
Jean Dujardin,95.0
Bérénice Bejo,95.0
James Cromwell,95.0
Jodie Foster,95.0
Anthony Hopkins,95.0
Scott Glenn,95.0
Ted Levine,95.0
Gene Kelly,95.0
Leslie Caron,91.5
Oscar Levant,95.0
Georges Guétary,95.0
Sidney Poitier,96.0
Rod Steiger,96.0
Warren Oates,96.0
Quentin Dean,96.0
Jean Arthur,95.0
Lionel Barrymore,95.0
James Stewart,95.0
Edward Arnold,95.0
Colin Firth,94.0
Geoffrey Rush,93.0
Helena Bonham Carter,94.0
Emilia Jones,94.0
Troy Kotsur,94.0
Marlee Matlin,94.0
Eugenio Derbez,94.0
Peter O'Toole,90.0
Anthony Quinn,94.0
Omar Sharif,94.0
Audrey Hepburn,95.0
Rex Harrison,95.0
Stanley Holloway,95.0
Wilfrid Hyde-White,95.0
Greer Garson,94.0
Walter Pidgeon,93.5
Dame May Whitty,94.0
Frances McDormand,93.0
David Strathairn,93.0
Linda May,93.0
Swankie,93.0
Tommy Lee Jones,93.0
Javier Bardem,93.0
Josh Brolin,93.0
Woody Harrelson,93.0
Elijah Wood,94.0
Ian McKellen,94.0
Liv Tyler,94.0
Viggo Mortensen,85.5
Jack Nicholson,88.66666666666667
Louise Fletcher,93.0
Brad Dourif,93.0
William Redfield,93.0
Jack Lemmon,93.0
Shirley MacLaine,82.33333333333333
Fred MacMurray,93.0
Ray Walston,93.0
Maureen O'Hara,93.0
Roddy McDowall,93.0
Donald Crisp,93.0
Clara Bow,94.0
"Charles ""Buddy"" Rogers",94.0
Richard Arlen,94.0
Jobyna Ralston,94.0
Sally Hawkins,92.0
Michael Shannon,92.0
Richard Jenkins,92.0
Octavia Spencer,92.0
Joseph Fiennes,92.0
Gwyneth Paltrow,92.0
Judi Dench,92.0
Natalie Wood,92.0
Richard Beymer,92.0
Russ Tamblyn,92.0
George Chakiris,92.0
Paul Newman,93.0
Robert Redford,78.0
Robert Shaw,91.0
Charles Durning,93.0
Zach Galifianakis,91.0
Ed Norton,91.0
Andrea Riseborough,91.0
Dev Patel,91.0
Freida Pinto,91.0
Madhur Mittal,91.0
Anil Kapoor,91.0
Leonardo DiCaprio,89.5
Matt Damon,91.0
Mark Wahlberg,91.0
Sylvester Stallone,92.0
Talia Shire,92.0
