,Score
Frank Lloyd,80.5
Paul Haggis,74.0
Alejandro González Iñárritu,91.0
Jonathan Demme,95.0
Tom McCarthy,97.0
Michael Anderson,72.0
Sian Heder,94.0
John Schlesinger,89.0
Joel Coen,93.0
Jerome Robbins,92.0
John G. Avildsen,92.0
Steven Spielberg,98.0
Michel Hazanavicius,95.0
Robert Zemeckis,71.0
Frank Capra,96.5
Joseph L. Mankiewicz,99.0
Michael Curtiz,99.0
Franklin J. Schaffner,91.0
Mel Gibson,76.0
F.W. Murnau,98.0
Francis Ford Coppola,96.5
Bruce Beresford,85.0
George Cukor,95.0
Peter Farrelly,77.0
Billy Wilder,95.0
Sydney Pollack,63.0
Guillermo del Toro,92.0
Ben Affleck,96.0
David Lean,95.0
Martin Scorsese,91.0
Milos Forman,91.0
Danny Boyle,91.0
Lewis Milestone,98.0
Rob Marshall,86.0
James L. Brooks,82.0
Carol Reed,90.0
Delbert Mann,96.0
Ron Howard,74.0
Michael Cimino,86.0
Harry Beaumont,40.0
Barry Levinson,88.0
Robert Benton,89.0
Hugh Hudson,83.0
Alfred Hitchcock,98.0
Steve McQueen,95.0
Robert Z. Leonard,72.0
Tom Hooper,94.0
Norman Jewison,96.0
John Ford,93.0
Robert Rossen,97.0
Sam Mendes,87.0
Laurence Olivier,96.0
Fred Zinnemann,88.5
Ridley Scott,80.0
Kevin Costner,87.0
Clint Eastwood,93.0
Victor Fleming,90.0
Elia Kazan,90.5
Robert Redford,89.0
Oliver Stone,89.0
Woody Allen,97.0
William Wyler,92.0
James Cameron,88.0
John Madden,92.0
Bernardo Bertolucci,86.0
Edmund Goulding,87.0
Vincente Minnelli,91.5
Chloé Zhao,93.0
Leo McCarey,83.0
Dan Kwan,94.0
Wesley Ruggles,52.0
Tony Richardson,81.0
George Roy Hill,93.0
Anthony Minghella,86.0
Cecil B. DeMille,50.0
William A. Wellman,94.0
Richard Attenborough,89.0
Robert Wise,83.0
Bong Joon Ho,99.0
William Friedkin,96.0
William Dieterle,92.0
Kathryn Bigelow,97.0
Peter Jackson,94.0
Barry Jenkins,98.0
