Title,Year,Critic Consensus,Synopsis,Cast,Director,Rotten Tomatoes Score (%)
Parasite,2019,"An urgent, brilliantly layered look at timely social themes, Parasite finds writer-director Bong Joon Ho in near-total command of his craft.",Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan....,"Song Kang-ho, Lee Sun-kyun, Jo Yeo-jeong, Choi Woo-sik",Bong Joon Ho,99
Casablanca,1942,"An undisputed masterpiece and perhaps Hollywood's quintessential statement on love and romance, Casablanca has only improved with age, boasting career-defining performances from Humphrey Bogart and Ingrid Bergman.","Rick Blaine (Humphrey Bogart), who owns a nightclub in Casablanca, discovers his old flame Ilsa (Ingrid Bergman) is in town...","Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains",Michael Curtiz,99
All About Eve,1950,"Smart, sophisticated, and devastatingly funny, All About Eve is a Hollywood classic that only improves with age.","Backstage story revolving around aspiring actress Eve Harrington. Tattered and forlorn, Eve shows up in the dressing room of Broadway...","Bette Davis, Anne Baxter, Celeste Holm, George Sanders",Joseph L. Mankiewicz,99
On the Waterfront,1954,"With his electrifying performance in Elia Kazan's thought-provoking, expertly constructed melodrama, Marlon Brando redefined the possibilities of acting for film and helped permanently alter the cinematic landscape.",Dockworker Terry Malloy (Marlon Brando) had been an up-and-coming boxer until powerful local mob boss Johnny Friendly (Lee J. Cobb)...,"Marlon Brando, Eva Marie Saint, Karl Malden, Lee J. Cobb",Elia Kazan,99
Moonlight,2016,Moonlight uses one man's story to offer a remarkable and brilliantly crafted look at lives too rarely seen in cinema.,"A look at three defining chapters in the life of Chiron, a young black man growing up in Miami. His...","Mahershala Ali, Alex R. Hibbert, Ashton Sanders, Trevante Rhodes",Barry Jenkins,98
Schindler's List,1993,Schindler's List blends the abject horror of the Holocaust with Steven Spielberg's signature tender humanism to create the director's dramatic masterpiece.,"Businessman Oskar Schindler (Liam Neeson) arrives in Krakow in 1939, ready to make his fortune from World War II, which...","Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall",Steven Spielberg,98
It Happened One Night,1934,"Capturing its stars and director at their finest, It Happened One Night remains unsurpassed by the countless romantic comedies it has inspired.","In Frank Capra's acclaimed romantic comedy, spoiled heiress Ellie Andrews (Claudette Colbert) impetuously marries the scheming King Westley, leading her...","Claudette Colbert, Clark Gable, Walter Connolly, Roscoe Karns",Frank Capra,98
Rebecca,1940,"Hitchcock's first American film (and his only Best Picture winner), Rebecca is a masterpiece of haunting atmosphere, Gothic thrills, and gripping suspense.",Story of a young woman who marries a fascinating widower only to find out that she must live in the...,"Laurence Olivier, Joan Fontaine, Judith Anderson, George Sanders",Alfred Hitchcock,98
All Quiet on the Western Front,1930,"Director Lewis Milestone's brilliant anti-war polemic, headlined by an unforgettable performance from Lew Ayres, lays bare the tragic foolishness at the heart of war.","The film follows a group of German schoolboys, talked into enlisting at the beginning of World War I by their...","Lew Ayres, Louis Wolheim, John Wray, Raymond Griffith",Lewis Milestone,98
Sunrise,1927,"Boasting masterful cinematography to match its well-acted, wonderfully romantic storyline, Sunrise is perhaps the final -- and arguably definitive -- statement of the silent era.","Bored with his wife (Janet Gaynor), their baby and the dull routine of farm life, a farmer (George O'Brien) falls...","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing",F.W. Murnau,98
